artist_name,artist_uri
French Montana,spotify:artist:6vXTefBL93Dj5IqAWq6OTv
Kap G,spotify:artist:6JvU33PZ8MtZyeFTESr09O
Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
Chance The Rapper,spotify:artist:1anyVhU62p31KFi8MEzkbf
Russ,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS
Rae Sremmurd,spotify:artist:7iZtZyCzp3LItcw1wtPI3D
Dae Dae,spotify:artist:41LfjfTCcTCUdykJqNyFw8
Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz
Lil Bibby,spotify:artist:4uSN8Y3kgFNVULUWsZEAVW
Speaker Knockerz,spotify:artist:3KuLo66B73btyQpdXlkqFx
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
Kodak Black,spotify:artist:46SHBwWsqBkxI7EeeBEQG7
21 Savage,spotify:artist:1URnnhqYAYcrqrcwql10ft
Meek Mill,spotify:artist:20sxb77xiYeusSH8cVdatc
Lil Lonnie,spotify:artist:6zSBkdKFLKKggDtE3amfCk
Rob $tone,spotify:artist:2hWs22BmQkK4czFtDLnar2
Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
PnB Rock,spotify:artist:21WS9wngs9AqFckK7yYJPM
XXXTENTACION,spotify:artist:15UsOTVnJzReFVN1VCnxy4
Nebu Kiniza,spotify:artist:5lCY3tqdQxbeg5igSlObaT
Ayo & Teo,spotify:artist:27mFvqQj8KpjmdKIqcw1mG
Aminé,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ
Belly,spotify:artist:0FOWNUFHPnMy0vOw1siGqi
$uicideBoy$,spotify:artist:1VPmR4DJC1PlOtd0IADAO0
Squidnice,spotify:artist:2b7RaCiQLB2IVagR5RNJQz
Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL
G-Eazy,spotify:artist:02kJSzxNuaWGqwubyUba0Z
A Boogie Wit da Hoodie,spotify:artist:31W5EY0aAly4Qieq6OFu6I
Two Feet,spotify:artist:5sWHDYs0csV6RS48xBl0tH
Melvv,spotify:artist:7cae9Fkz2R1NDHWtdnaE8d
Logic,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L
NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC
Lil Xan,spotify:artist:3EXdLajEO02ziZ90P90bSW
AC/DC,spotify:artist:711MCceyCBcFnzjGY4Q7Un
Mountain,spotify:artist:7LCp4MN0SOIVWlssid9KyE
Eric Carmen,spotify:artist:2ekjTXgjxbWwBX5lTAj4DU
Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b
The Charlie Daniels Band,spotify:artist:12d4iIvTOk7JkI6ecvc3ca
Heart,spotify:artist:34jw2BbxjoYalTp8cJFCPv
Eagles,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL
Tainted Flavor,spotify:artist:0lOCqoXWdPaVWhnryP66pC
Twisted Sister,spotify:artist:7b85ve82Sh36a3UAx74wut
Aerosmith,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH
Guns N' Roses,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC
Lynyrd Skynyrd,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0
